,ccode,country,year,AIDS,Congenital,Diarrhoea,Injury,Intrapartum,Malaria,Measles,Meningitis,Pneumonia,Preterm,Sepsis,Tetanus,Other,Total
378,TZA,United Republic of Tanzania,2000,9.3,3.4,13.3,3.9,9.7,12.3,2.0,3.8,18.1,8.5,4.1,0.5,11.2,100
379,USA,United States,2000,0.1,25.3,1.9,11.3,4.8,0.0,0.0,0.9,3.1,27.6,2.7,0.0,22.2,100
380,URY,Uruguay,2000,0.4,26.0,3.2,7.5,7.2,0.0,0.0,1.3,9.0,21.4,6.3,0.0,17.5,100
381,UZB,Uzbekistan,2000,0.2,9.1,11.1,5.4,12.5,0.0,0.0,3.8,18.7,18.9,4.0,0.5,15.8,100
382,VUT,Vanuatu,2000,0.0,14.9,16.8,4.5,8.7,7.6,0.0,1.7,17.8,17.8,2.8,0.6,6.9,100
383,VEN,Venezuela (Bolivarian Republic of),2000,0.2,15.0,11.6,7.2,8.2,0.0,0.0,2.1,8.6,23.1,8.8,0.0,15.1,100
384,VNM,Viet Nam,2000,0.4,16.0,12.4,3.5,7.7,0.2,6.7,1.6,17.9,20.4,3.9,0.4,8.8,100
385,YEM,Yemen,2000,0.0,3.9,14.6,5.5,10.1,0.6,5.6,3.1,22.0,14.5,6.1,1.5,12.5,100
386,ZMB,Zambia,2000,14.1,3.2,14.2,3.3,8.3,9.4,4.9,3.3,17.0,7.5,3.5,0.4,10.7,100
387,ZWE,Zimbabwe,2000,39.3,3.7,7.2,2.6,9.0,2.5,0.3,1.9,11.2,10.5,3.5,0.3,8.0,100
