[T30.],Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
8,Albania,2017,Tourism expenditure (millions of US dollars),,,"2,049",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
12,Algeria,1995,Tourist/visitor arrivals (thousands),VF,,520,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
12,Algeria,2005,Tourist/visitor arrivals (thousands),VF,,"1,443",Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
12,Algeria,2010,Tourist/visitor arrivals (thousands),VF,,"2,070",Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
12,Algeria,2015,Tourist/visitor arrivals (thousands),VF,,"1,710",Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
12,Algeria,2016,Tourist/visitor arrivals (thousands),VF,,"2,039",Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
12,Algeria,2017,Tourist/visitor arrivals (thousands),VF,,"2,451",Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
12,Algeria,2005,Tourism expenditure (millions of US dollars),,,477,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
12,Algeria,2010,Tourism expenditure (millions of US dollars),,,324,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
12,Algeria,2015,Tourism expenditure (millions of US dollars),,,347,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
12,Algeria,2016,Tourism expenditure (millions of US dollars),,,246,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
12,Algeria,2017,Tourism expenditure (millions of US dollars),,,172,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
16,American Samoa,1995,Tourist/visitor arrivals (thousands),TF,,34,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
