T09,Public expenditure on education,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
178,Congo,2005,Public expenditure on education (% of GDP),1.8358,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
178,Congo,2010,Expenditure by level of education: pre-primary (as % of government expenditure),4.5645,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
178,Congo,2010,Expenditure by level of education: primary (as % of government expenditure),30.9983,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
178,Congo,2010,Expenditure by level of education: secondary (as % of government expenditure),53.3317,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
178,Congo,2010,Expenditure by level of education: tertiary (as % of government expenditure),10.8726,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
178,Congo,2010,Public expenditure on education (% of government expenditure),24.7278,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
178,Congo,2010,Public expenditure on education (% of GDP),6.2208,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
178,Congo,2015,Public expenditure on education (% of government expenditure),7.9504,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
178,Congo,2015,Public expenditure on education (% of GDP),4.5615,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2000,Expenditure by level of education: pre-primary (as % of government expenditure),7.1122,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2000,Expenditure by level of education: primary (as % of government expenditure),50.6172,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2000,Expenditure by level of education: secondary (as % of government expenditure),36.4775,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2000,Public expenditure on education (% of GDP),2.0706,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2013,Expenditure by level of education: pre-primary (as % of government expenditure),11.3921,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2013,Expenditure by level of education: primary (as % of government expenditure),40.3611,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2013,Expenditure by level of education: secondary (as % of government expenditure),40.6087,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2013,Expenditure by level of education: tertiary (as % of government expenditure),7.6382,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2013,Public expenditure on education (% of GDP),2.9624,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.0481,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2016,All staff compensation as % of total expenditure in public institutions (%),63.3355,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2016,Capital expenditure as % of total expenditure in public institutions (%),2.6164,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2016,Expenditure by level of education: tertiary (as % of government expenditure),11.5484,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
184,Cook Islands,2016,Public expenditure on education (% of GDP),4.6514,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2004,Expenditure by level of education: pre-primary (as % of government expenditure),7.9384,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2004,Expenditure by level of education: primary (as % of government expenditure),45.4582,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2004,Expenditure by level of education: secondary (as % of government expenditure),27.8271,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2004,Expenditure by level of education: tertiary (as % of government expenditure),18.7763,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2004,Public expenditure on education (% of GDP),4.9122,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2010,Expenditure by level of education: pre-primary (as % of government expenditure),5.4170,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2010,Expenditure by level of education: primary (as % of government expenditure),41.9041,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2010,Expenditure by level of education: secondary (as % of government expenditure),31.5112,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2010,Expenditure by level of education: tertiary (as % of government expenditure),18.4177,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2010,Public expenditure on education (% of GDP),6.6345,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),39.6629,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2017,All staff compensation as % of total expenditure in public institutions (%),55.9359,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2017,Capital expenditure as % of total expenditure in public institutions (%),4.4012,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2017,Expenditure by level of education: pre-primary (as % of government expenditure),5.9872,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2017,Expenditure by level of education: primary (as % of government expenditure),28.9201,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2017,Expenditure by level of education: secondary (as % of government expenditure),31.6943,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2017,Expenditure by level of education: tertiary (as % of government expenditure),23.6386,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
188,Costa Rica,2017,Public expenditure on education (% of GDP),7.4323,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2000,Expenditure by level of education: pre-primary (as % of government expenditure),0.0137,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2000,Expenditure by level of education: primary (as % of government expenditure),41.5583,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2000,Expenditure by level of education: secondary (as % of government expenditure),32.6651,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2000,Expenditure by level of education: tertiary (as % of government expenditure),22.0427,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2000,Public expenditure on education (% of government expenditure),20.8070,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2000,Public expenditure on education (% of GDP),3.7037,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2001,Expenditure by level of education: primary (as % of government expenditure),42.2146,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2001,Expenditure by level of education: tertiary (as % of government expenditure),19.4233,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2001,Public expenditure on education (% of government expenditure),23.2020,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2001,Public expenditure on education (% of GDP),3.6687,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2005,Expenditure by level of education: tertiary (as % of government expenditure),20.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2005,Public expenditure on education (% of government expenditure),21.8457,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2005,Public expenditure on education (% of GDP),4.1058,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.7909,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2010,All staff compensation as % of total expenditure in public institutions (%),71.2283,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2010,Capital expenditure as % of total expenditure in public institutions (%),6.9808,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2010,Expenditure by level of education: pre-primary (as % of government expenditure),2.0032,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2010,Expenditure by level of education: primary (as % of government expenditure),42.6642,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2010,Expenditure by level of education: secondary (as % of government expenditure),33.0980,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2010,Expenditure by level of education: tertiary (as % of government expenditure),22.2347,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2010,Public expenditure on education (% of government expenditure),22.7728,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2010,Public expenditure on education (% of GDP),4.5535,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.3965,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2015,All staff compensation as % of total expenditure in public institutions (%),72.7127,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2015,Capital expenditure as % of total expenditure in public institutions (%),5.8908,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2015,Expenditure by level of education: pre-primary (as % of government expenditure),2.9505,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2015,Expenditure by level of education: primary (as % of government expenditure),41.4065,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2015,Expenditure by level of education: secondary (as % of government expenditure),34.1987,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2015,Expenditure by level of education: tertiary (as % of government expenditure),21.4443,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2015,Public expenditure on education (% of government expenditure),21.1732,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2015,Public expenditure on education (% of GDP),4.8299,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2017,Public expenditure on education (% of government expenditure),18.6235,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
384,Côte d’Ivoire,2017,Public expenditure on education (% of GDP),4.3642,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.9923,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2004,All staff compensation as % of total expenditure in public institutions (%),65.5792,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2004,Capital expenditure as % of total expenditure in public institutions (%),4.4285,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2004,Expenditure by level of education: pre-primary (as % of government expenditure),9.2446,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2004,Expenditure by level of education: tertiary (as % of government expenditure),18.1090,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2004,Public expenditure on education (% of government expenditure),8.1191,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2004,Public expenditure on education (% of GDP),3.8209,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.9955,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2010,All staff compensation as % of total expenditure in public institutions (%),70.5558,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2010,Capital expenditure as % of total expenditure in public institutions (%),6.4487,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2010,Expenditure by level of education: pre-primary (as % of government expenditure),13.8113,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2010,Expenditure by level of education: tertiary (as % of government expenditure),18.3160,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2010,Public expenditure on education (% of government expenditure),8.9583,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2010,Public expenditure on education (% of GDP),4.2405,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.3494,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2011,All staff compensation as % of total expenditure in public institutions (%),74.3801,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2011,Capital expenditure as % of total expenditure in public institutions (%),4.2704,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2011,Expenditure by level of education: pre-primary (as % of government expenditure),14.1068,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2011,Expenditure by level of education: tertiary (as % of government expenditure),22.1571,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2011,Public expenditure on education (% of government expenditure),8.5158,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2011,Public expenditure on education (% of GDP),4.1487,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.3133,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2013,All staff compensation as % of total expenditure in public institutions (%),69.4373,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2013,Capital expenditure as % of total expenditure in public institutions (%),3.2494,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2013,Expenditure by level of education: tertiary (as % of government expenditure),21.8553,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2013,Public expenditure on education (% of government expenditure),9.4946,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2013,Public expenditure on education (% of GDP),4.5626,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.2554,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2014,All staff compensation as % of total expenditure in public institutions (%),72.7624,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
191,Croatia,2014,Capital expenditure as % of total expenditure in public institutions (%),3.8356,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.2729,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2005,All staff compensation as % of total expenditure in public institutions (%),52.5507,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2005,Capital expenditure as % of total expenditure in public institutions (%),13.1764,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2005,Expenditure by level of education: pre-primary (as % of government expenditure),8.2911,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2005,Expenditure by level of education: primary (as % of government expenditure),30.3133,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2005,Expenditure by level of education: secondary (as % of government expenditure),37.6685,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2005,Expenditure by level of education: tertiary (as % of government expenditure),22.0605,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2005,Public expenditure on education (% of GDP),10.5578,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2007,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),46.7398,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2007,All staff compensation as % of total expenditure in public institutions (%),50.2050,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2007,Capital expenditure as % of total expenditure in public institutions (%),3.0553,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2007,Expenditure by level of education: pre-primary (as % of government expenditure),8.1488,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2007,Expenditure by level of education: primary (as % of government expenditure),30.1388,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2007,Expenditure by level of education: secondary (as % of government expenditure),36.0189,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2007,Expenditure by level of education: tertiary (as % of government expenditure),25.1173,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2007,Public expenditure on education (% of GDP),11.8682,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),40.4567,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2010,All staff compensation as % of total expenditure in public institutions (%),58.6456,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2010,Capital expenditure as % of total expenditure in public institutions (%),0.8978,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2010,Expenditure by level of education: pre-primary (as % of government expenditure),6.8483,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2010,Expenditure by level of education: primary (as % of government expenditure),29.0350,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2010,Expenditure by level of education: secondary (as % of government expenditure),29.1078,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
192,Cuba,2010,Public expenditure on education (% of GDP),12.8373,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
531,Curaçao,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.9106,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
531,Curaçao,2013,All staff compensation as % of total expenditure in public institutions (%),86.0894,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
