T09,Public expenditure on education,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
8,Albania,2015,Expenditure by level of education: tertiary (as % of government expenditure),21.1560,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2015,Public expenditure on education (% of government expenditure),11.3177,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2015,Public expenditure on education (% of GDP),3.4380,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.9283,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2016,All staff compensation as % of total expenditure in public institutions (%),72.7093,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2016,Capital expenditure as % of total expenditure in public institutions (%),8.3624,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2016,Expenditure by level of education: secondary (as % of government expenditure),25.3694,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2016,Expenditure by level of education: tertiary (as % of government expenditure),19.0985,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2016,Public expenditure on education (% of government expenditure),13.5970,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
8,Albania,2016,Public expenditure on education (% of GDP),3.9546,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2008,Expenditure by level of education: tertiary (as % of government expenditure),26.9726,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2008,Public expenditure on education (% of government expenditure),11.4284,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
12,Algeria,2008,Public expenditure on education (% of GDP),4.3370,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
16,American Samoa,2006,Capital expenditure as % of total expenditure in public institutions (%),6.2346,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
16,American Samoa,2006,Expenditure by level of education: tertiary (as % of government expenditure),11.1848,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
16,American Samoa,2006,Public expenditure on education (% of GDP),14.6293,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2005,Expenditure by level of education: pre-primary (as % of government expenditure),16.8700,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2005,Expenditure by level of education: primary (as % of government expenditure),24.1359,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2005,Expenditure by level of education: secondary (as % of government expenditure),20.6186,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2005,Expenditure by level of education: tertiary (as % of government expenditure),3.8825,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2005,Public expenditure on education (% of GDP),1.5965,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.9192,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2010,All staff compensation as % of total expenditure in public institutions (%),36.7439,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2010,Capital expenditure as % of total expenditure in public institutions (%),1.6832,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2010,Expenditure by level of education: pre-primary (as % of government expenditure),14.6094,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2010,Expenditure by level of education: primary (as % of government expenditure),28.8952,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2010,Expenditure by level of education: secondary (as % of government expenditure),20.9346,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2010,Expenditure by level of education: tertiary (as % of government expenditure),3.8613,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2010,Public expenditure on education (% of GDP),3.0574,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),63.8312,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2017,All staff compensation as % of total expenditure in public institutions (%),35.4391,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2017,Capital expenditure as % of total expenditure in public institutions (%),0.7298,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2017,Expenditure by level of education: pre-primary (as % of government expenditure),11.9120,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2017,Expenditure by level of education: primary (as % of government expenditure),22.0479,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2017,Expenditure by level of education: secondary (as % of government expenditure),24.7644,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2017,Expenditure by level of education: tertiary (as % of government expenditure),5.6752,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
20,Andorra,2017,Public expenditure on education (% of GDP),3.1956,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2005,Expenditure by level of education: primary (as % of government expenditure),36.4988,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2005,Expenditure by level of education: secondary (as % of government expenditure),55.2176,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2005,Expenditure by level of education: tertiary (as % of government expenditure),8.2836,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2005,Public expenditure on education (% of government expenditure),7.9924,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2005,Public expenditure on education (% of GDP),2.7762,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2006,Capital expenditure as % of total expenditure in public institutions (%),24.3496,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2006,Expenditure by level of education: pre-primary (as % of government expenditure),13.5355,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2006,Expenditure by level of education: primary (as % of government expenditure),31.4335,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2006,Expenditure by level of education: secondary (as % of government expenditure),42.4243,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2006,Expenditure by level of education: tertiary (as % of government expenditure),8.7012,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2006,Public expenditure on education (% of government expenditure),7.4548,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2006,Public expenditure on education (% of GDP),2.8597,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2010,Public expenditure on education (% of government expenditure),8.6848,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
24,Angola,2010,Public expenditure on education (% of GDP),3.4741,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.7393,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2005,All staff compensation as % of total expenditure in public institutions (%),80.8978,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2005,Expenditure by level of education: pre-primary (as % of government expenditure),1.9369,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2005,Expenditure by level of education: primary (as % of government expenditure),28.5042,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2005,Expenditure by level of education: secondary (as % of government expenditure),51.2568,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
