T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
12,Algeria,2005,Major trading partner 2 (% of imports),France,,22.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2010,Major trading partner 2 (% of imports),France,,14.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2017,Major trading partner 2 (% of imports),France,,9.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2005,Major trading partner 3 (% of exports),Spain,,11.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2010,Major trading partner 3 (% of exports),Spain,,10.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2017,Major trading partner 3 (% of exports),Spain,,11.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2005,Major trading partner 3 (% of imports),Italy,,7.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2010,Major trading partner 3 (% of imports),Italy,,10.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2017,Major trading partner 3 (% of imports),Italy,,8.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2005,Major trading partner 1 (% of exports),Spain,,59.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2010,Major trading partner 1 (% of exports),Spain,,67.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2017,Major trading partner 1 (% of exports),Spain,,29.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2005,Major trading partner 1 (% of imports),Spain,,51.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2010,Major trading partner 1 (% of imports),Spain,,59.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2017,Major trading partner 1 (% of imports),Spain,,67.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
