T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
233,Estonia,2016,Balance of Payments: Financial account (millions of US dollars),427,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
233,Estonia,2017,Balance of Payments: Financial account (millions of US dollars),"1,152",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,1985,Balance of Payments: Current account (millions of US dollars),-38,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,1995,Balance of Payments: Current account (millions of US dollars),-30,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,2005,Balance of Payments: Current account (millions of US dollars),-103,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,2010,Balance of Payments: Current account (millions of US dollars),-388,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,2015,Balance of Payments: Current account (millions of US dollars),"1,056",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,2016,Balance of Payments: Current account (millions of US dollars),640,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,2005,Balance of Payments: Capital account (millions of US dollars),-3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,2010,Balance of Payments: Capital account (millions of US dollars),14,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,2015,Balance of Payments: Capital account (millions of US dollars),-2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,2016,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,1985,Balance of Payments: Financial account (millions of US dollars),-27,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,1995,Balance of Payments: Financial account (millions of US dollars),49,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,2005,Balance of Payments: Financial account (millions of US dollars),-147,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,2010,Balance of Payments: Financial account (millions of US dollars),-318,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,2015,Balance of Payments: Financial account (millions of US dollars),775,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
748,Eswatini,2016,Balance of Payments: Financial account (millions of US dollars),588,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,1985,Balance of Payments: Current account (millions of US dollars),106,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,1995,Balance of Payments: Current account (millions of US dollars),39,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,2005,Balance of Payments: Current account (millions of US dollars),"-1,568",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,2010,Balance of Payments: Current account (millions of US dollars),-425,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,2015,Balance of Payments: Current account (millions of US dollars),"-7,511",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,2016,Balance of Payments: Current account (millions of US dollars),"-8,269",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,1995,Balance of Payments: Capital account (millions of US dollars),11,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,2005,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,2010,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,1985,Balance of Payments: Financial account (millions of US dollars),-63,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,1995,Balance of Payments: Financial account (millions of US dollars),-72,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,2005,Balance of Payments: Financial account (millions of US dollars),"-1,081",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,2010,Balance of Payments: Financial account (millions of US dollars),"-3,355",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,2015,Balance of Payments: Financial account (millions of US dollars),"-4,708",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
231,Ethiopia,2016,Balance of Payments: Financial account (millions of US dollars),"-4,933",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
234,Faroe Islands,2005,Balance of Payments: Current account (millions of US dollars),31,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
234,Faroe Islands,2010,Balance of Payments: Current account (millions of US dollars),144,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,1985,Balance of Payments: Current account (millions of US dollars),19,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,1995,Balance of Payments: Current account (millions of US dollars),-113,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2005,Balance of Payments: Current account (millions of US dollars),-206,Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2010,Balance of Payments: Current account (millions of US dollars),-149,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2015,Balance of Payments: Current account (millions of US dollars),-154,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2016,Balance of Payments: Current account (millions of US dollars),-237,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2017,Balance of Payments: Current account (millions of US dollars),-315,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,1995,Balance of Payments: Capital account (millions of US dollars),116,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2005,Balance of Payments: Capital account (millions of US dollars),3,Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2010,Balance of Payments: Capital account (millions of US dollars),3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2015,Balance of Payments: Capital account (millions of US dollars),3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2016,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2017,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,1985,Balance of Payments: Financial account (millions of US dollars),-2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,1995,Balance of Payments: Financial account (millions of US dollars),5,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2005,Balance of Payments: Financial account (millions of US dollars),-338,Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2010,Balance of Payments: Financial account (millions of US dollars),-157,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2015,Balance of Payments: Financial account (millions of US dollars),-174,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2016,Balance of Payments: Financial account (millions of US dollars),-209,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
242,Fiji,2017,Balance of Payments: Financial account (millions of US dollars),-323,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,1985,Balance of Payments: Current account (millions of US dollars),-806,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,1995,Balance of Payments: Current account (millions of US dollars),"5,231",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2005,Balance of Payments: Current account (millions of US dollars),"7,788",Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2010,Balance of Payments: Current account (millions of US dollars),"2,792",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2015,Balance of Payments: Current account (millions of US dollars),"-1,715",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2016,Balance of Payments: Current account (millions of US dollars),-843,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2017,Balance of Payments: Current account (millions of US dollars),"1,917",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,1995,Balance of Payments: Capital account (millions of US dollars),66,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2005,Balance of Payments: Capital account (millions of US dollars),324,Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2010,Balance of Payments: Capital account (millions of US dollars),234,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2015,Balance of Payments: Capital account (millions of US dollars),90,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2016,Balance of Payments: Capital account (millions of US dollars),92,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2017,Balance of Payments: Capital account (millions of US dollars),200,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,1985,Balance of Payments: Financial account (millions of US dollars),-849,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,1995,Balance of Payments: Financial account (millions of US dollars),"3,913",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2005,Balance of Payments: Financial account (millions of US dollars),"3,787",Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2010,Balance of Payments: Financial account (millions of US dollars),"4,364",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2015,Balance of Payments: Financial account (millions of US dollars),"-7,781",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2016,Balance of Payments: Financial account (millions of US dollars),"-25,206",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
246,Finland,2017,Balance of Payments: Financial account (millions of US dollars),"-6,626",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,1985,Balance of Payments: Current account (millions of US dollars),-35,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,1995,Balance of Payments: Current account (millions of US dollars),"10,840",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2005,Balance of Payments: Current account (millions of US dollars),-137,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2010,Balance of Payments: Current account (millions of US dollars),"-22,034",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2015,Balance of Payments: Current account (millions of US dollars),"-10,774",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2016,Balance of Payments: Current account (millions of US dollars),"-21,124",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2017,Balance of Payments: Current account (millions of US dollars),"-18,514",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,1995,Balance of Payments: Capital account (millions of US dollars),442,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2005,Balance of Payments: Capital account (millions of US dollars),"1,161",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2010,Balance of Payments: Capital account (millions of US dollars),"1,637",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2015,Balance of Payments: Capital account (millions of US dollars),"2,017",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2016,Balance of Payments: Capital account (millions of US dollars),-29,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2017,Balance of Payments: Capital account (millions of US dollars),"1,296",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,1985,Balance of Payments: Financial account (millions of US dollars),256,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,1995,Balance of Payments: Financial account (millions of US dollars),"8,230",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2005,Balance of Payments: Financial account (millions of US dollars),"-11,143",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2010,Balance of Payments: Financial account (millions of US dollars),782,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2015,Balance of Payments: Financial account (millions of US dollars),"-14,147",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2016,Balance of Payments: Financial account (millions of US dollars),"-32,739",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
250,France,2017,Balance of Payments: Financial account (millions of US dollars),"-58,677",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
258,French Polynesia,2005,Balance of Payments: Current account (millions of US dollars),9,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
258,French Polynesia,2010,Balance of Payments: Current account (millions of US dollars),-18,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
258,French Polynesia,2015,Balance of Payments: Current account (millions of US dollars),291,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
258,French Polynesia,2016,Balance of Payments: Current account (millions of US dollars),412,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
258,French Polynesia,2005,Balance of Payments: Capital account (millions of US dollars),-1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
258,French Polynesia,2010,Balance of Payments: Capital account (millions of US dollars),-1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
258,French Polynesia,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
258,French Polynesia,2016,Balance of Payments: Capital account (millions of US dollars),-3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
258,French Polynesia,2005,Balance of Payments: Financial account (millions of US dollars),32,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
258,French Polynesia,2010,Balance of Payments: Financial account (millions of US dollars),-119,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
258,French Polynesia,2015,Balance of Payments: Financial account (millions of US dollars),315,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
258,French Polynesia,2016,Balance of Payments: Financial account (millions of US dollars),374,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
266,Gabon,1985,Balance of Payments: Current account (millions of US dollars),-162,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
266,Gabon,1995,Balance of Payments: Current account (millions of US dollars),515,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
266,Gabon,2005,Balance of Payments: Current account (millions of US dollars),"1,983",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
266,Gabon,2010,Balance of Payments: Current account (millions of US dollars),"2,453",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
266,Gabon,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
266,Gabon,1995,Balance of Payments: Capital account (millions of US dollars),5,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
266,Gabon,2005,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
266,Gabon,2010,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
266,Gabon,1985,Balance of Payments: Financial account (millions of US dollars),-225,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
266,Gabon,1995,Balance of Payments: Financial account (millions of US dollars),287,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
266,Gabon,2005,Balance of Payments: Financial account (millions of US dollars),"1,568",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
266,Gabon,2010,Balance of Payments: Financial account (millions of US dollars),"1,121",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,1985,Balance of Payments: Current account (millions of US dollars),8,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,1995,Balance of Payments: Current account (millions of US dollars),-8,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,2005,Balance of Payments: Current account (millions of US dollars),-43,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,2010,Balance of Payments: Current account (millions of US dollars),17,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,2015,Balance of Payments: Current account (millions of US dollars),-99,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,2016,Balance of Payments: Current account (millions of US dollars),-96,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,2005,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,2010,Balance of Payments: Capital account (millions of US dollars),38,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,2015,Balance of Payments: Capital account (millions of US dollars),19,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,2016,Balance of Payments: Capital account (millions of US dollars),7,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,1985,Balance of Payments: Financial account (millions of US dollars),-4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,1995,Balance of Payments: Financial account (millions of US dollars),-22,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,2005,Balance of Payments: Financial account (millions of US dollars),-77,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,2010,Balance of Payments: Financial account (millions of US dollars),36,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,2015,Balance of Payments: Financial account (millions of US dollars),-16,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
270,Gambia,2016,Balance of Payments: Financial account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2005,Balance of Payments: Current account (millions of US dollars),-696,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2010,Balance of Payments: Current account (millions of US dollars),"-1,199",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2015,Balance of Payments: Current account (millions of US dollars),"-1,699",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2016,Balance of Payments: Current account (millions of US dollars),"-1,848",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2017,Balance of Payments: Current account (millions of US dollars),"-1,311",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2005,Balance of Payments: Capital account (millions of US dollars),56,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2010,Balance of Payments: Capital account (millions of US dollars),198,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2015,Balance of Payments: Capital account (millions of US dollars),58,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2016,Balance of Payments: Capital account (millions of US dollars),56,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2017,Balance of Payments: Capital account (millions of US dollars),108,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2005,Balance of Payments: Financial account (millions of US dollars),-613,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2010,Balance of Payments: Financial account (millions of US dollars),"-1,064",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2015,Balance of Payments: Financial account (millions of US dollars),"-1,766",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2016,Balance of Payments: Financial account (millions of US dollars),"-1,770",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
268,Georgia,2017,Balance of Payments: Financial account (millions of US dollars),"-1,268",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
276,Germany,1985,Balance of Payments: Current account (millions of US dollars),"17,994",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
276,Germany,1995,Balance of Payments: Current account (millions of US dollars),"-32,186",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
276,Germany,2005,Balance of Payments: Current account (millions of US dollars),"131,661",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
276,Germany,2010,Balance of Payments: Current account (millions of US dollars),"193,034",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
276,Germany,2015,Balance of Payments: Current account (millions of US dollars),"300,804",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
