T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
12,Algeria,1985,Balance of Payments: Current account (millions of US dollars),"1,015",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,2005,Balance of Payments: Current account (millions of US dollars),"21,180",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,2010,Balance of Payments: Current account (millions of US dollars),"12,220",Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,2015,Balance of Payments: Current account (millions of US dollars),"-27,229",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,2016,Balance of Payments: Current account (millions of US dollars),"-26,179",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,2005,Balance of Payments: Capital account (millions of US dollars),-3,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,2010,Balance of Payments: Capital account (millions of US dollars),4,Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,2015,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,2016,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,1985,Balance of Payments: Financial account (millions of US dollars),"1,141",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,2005,Balance of Payments: Financial account (millions of US dollars),"20,988",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,2010,Balance of Payments: Financial account (millions of US dollars),"10,921",Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,2015,Balance of Payments: Financial account (millions of US dollars),"-27,672",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
12,Algeria,2016,Balance of Payments: Financial account (millions of US dollars),"-26,320",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,1985,Balance of Payments: Current account (millions of US dollars),195,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,1995,Balance of Payments: Current account (millions of US dollars),-295,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,2005,Balance of Payments: Current account (millions of US dollars),"5,138",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,2010,Balance of Payments: Current account (millions of US dollars),"7,506",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,2015,Balance of Payments: Current account (millions of US dollars),"-10,273",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,2016,Balance of Payments: Current account (millions of US dollars),"-3,071",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,2005,Balance of Payments: Capital account (millions of US dollars),8,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,2010,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,2015,Balance of Payments: Capital account (millions of US dollars),6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,2016,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,1985,Balance of Payments: Financial account (millions of US dollars),-460,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,1995,Balance of Payments: Financial account (millions of US dollars),-314,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,2005,Balance of Payments: Financial account (millions of US dollars),"4,571",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,2010,Balance of Payments: Financial account (millions of US dollars),"7,219",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,2015,Balance of Payments: Financial account (millions of US dollars),"-9,954",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
24,Angola,2016,Balance of Payments: Financial account (millions of US dollars),"-5,628",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,1995,Balance of Payments: Current account (millions of US dollars),-10,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,2005,Balance of Payments: Current account (millions of US dollars),-52,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,2010,Balance of Payments: Current account (millions of US dollars),-51,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,2015,Balance of Payments: Current account (millions of US dollars),-60,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,2016,Balance of Payments: Current account (millions of US dollars),-99,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,1995,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,2005,Balance of Payments: Capital account (millions of US dollars),2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,2010,Balance of Payments: Capital account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,2015,Balance of Payments: Capital account (millions of US dollars),1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,2016,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,1995,Balance of Payments: Financial account (millions of US dollars),4,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,2005,Balance of Payments: Financial account (millions of US dollars),-42,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,2010,Balance of Payments: Financial account (millions of US dollars),-35,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,2015,Balance of Payments: Financial account (millions of US dollars),-39,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
660,Anguilla,2016,Balance of Payments: Financial account (millions of US dollars),-80,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
28,Antigua and Barbuda,1985,Balance of Payments: Current account (millions of US dollars),-23,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
28,Antigua and Barbuda,1995,Balance of Payments: Current account (millions of US dollars),-1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
