Time,L06_347,LS06_347,LS06_348
2009-01-01 00:00:00,0.1374166666666667,0.09749999999999999,0.01683333333333334
2009-01-01 03:00:00,0.13125,0.08883333333333332,0.016416666666666673
2009-01-01 06:00:00,0.11350000000000003,0.09125,0.016750000000000004
2009-01-01 09:00:00,0.13575,0.09149999999999998,0.016250000000000004
2009-01-01 12:00:00,0.1409166666666667,0.09616666666666668,0.017000000000000005
2009-01-01 15:00:00,0.09916666666666667,0.09166666666666667,0.01758333333333334
2009-01-01 18:00:00,0.13266666666666668,0.09016666666666666,0.016250000000000004
2009-01-01 21:00:00,0.10941666666666666,0.09116666666666666,0.016000000000000004
2009-01-02 00:00:00,0.13383333333333336,0.09041666666666666,0.01608333333333334
2009-01-02 03:00:00,0.09208333333333334,0.08866666666666666,0.016000000000000004
2009-01-02 06:00:00,0.11291666666666667,0.09141666666666665,0.01633333333333334
2009-01-02 09:00:00,0.14191666666666666,0.09708333333333331,0.016416666666666666
2009-01-02 12:00:00,0.14783333333333334,0.10191666666666667,0.016416666666666673
2009-01-02 15:00:00,0.10791666666666667,0.10025,0.016416666666666673
2009-01-02 18:00:00,0.14358333333333334,0.09841666666666665,0.016750000000000004
2009-01-02 21:00:00,0.11308333333333331,0.09808333333333334,0.01683333333333334
2009-01-03 00:00:00,0.13583333333333333,0.09216666666666666,0.01683333333333334
2009-01-03 03:00:00,0.08324999999999999,0.07999999999999997,0.01608333333333334
2009-01-03 06:00:00,0.11941666666666666,0.08024999999999999,0.01541666666666667
2009-01-03 09:00:00,0.12458333333333334,0.08441666666666664,0.015833333333333338
2009-01-03 12:00:00,0.09166666666666666,0.08825,0.016250000000000004
2009-01-03 15:00:00,0.125,0.08466666666666665,0.016500000000000004
2009-01-03 18:00:00,0.12158333333333332,0.08208333333333331,0.015833333333333338
2009-01-03 21:00:00,0.10716666666666667,0.09249999999999999,0.016000000000000004
2009-01-04 00:00:00,0.13525,0.09116666666666666,0.01633333333333334
2009-01-04 03:00:00,0.13558333333333336,0.09158333333333331,0.01608333333333334
2009-01-04 06:00:00,0.11716666666666668,0.09516666666666666,0.016000000000000004
2009-01-04 09:00:00,0.10899999999999999,0.10516666666666667,0.018000000000000002
2009-01-04 12:00:00,0.15741666666666662,0.11075000000000002,0.01841666666666667
2009-01-04 15:00:00,0.16041666666666665,0.11375000000000002,0.018416666666666675
2009-01-04 18:00:00,0.15558333333333332,0.10908333333333332,0.018000000000000006
2009-01-04 21:00:00,0.15116666666666664,0.105,0.01733333333333334
2009-01-05 00:00:00,0.14875,0.10283333333333335,0.017000000000000005
2009-01-05 03:00:00,0.10908333333333332,0.10525000000000001,0.017750000000000005
2009-01-05 06:00:00,0.1465,0.11516666666666665,0.01766666666666667
2009-01-05 09:00:00,0.1615,0.11458333333333333,0.02158333333333333
2009-01-05 12:00:00,0.11566666666666668,0.11175000000000002,0.020166666666666663
2009-01-05 15:00:00,0.14600000000000002,0.10075,0.0195
2009-01-05 18:00:00,0.10149999999999999,0.09766666666666667,0.017250000000000005
2009-01-05 21:00:00,0.10149999999999999,0.08791666666666664,0.01441666666666667
2009-01-06 00:00:00,0.12191666666666667,0.08224999999999998,0.014000000000000004
2009-01-06 03:00:00,0.106,0.06983333333333332,0.013499999999999998
2009-01-06 06:00:00,0.09175,0.06825000000000002,0.014250000000000004
2009-01-06 09:00:00,0.10008333333333334,0.06558333333333333,0.015500000000000005
2009-01-06 12:00:00,0.1226666666666667,0.08291666666666665,0.017333333333333336
2009-01-06 15:00:00,0.12025000000000001,0.08058333333333333,0.017416666666666674
2009-01-06 18:00:00,0.049249999999999995,0.04725000000000001,0.013166666666666667
2009-01-06 21:00:00,0.054249999999999986,0.04674999999999999,0.010999999999999998
2009-01-07 00:00:00,0.07924999999999999,0.05241666666666667,0.011749999999999998
2009-01-07 03:00:00,0.13933333333333334,0.09575,0.013500000000000003
2009-01-07 06:00:00,0.12241666666666667,0.09333333333333332,0.014750000000000004
2009-01-07 09:00:00,0.13849999999999998,0.09391666666666666,0.015000000000000005
2009-01-07 12:00:00,0.13925,0.09466666666666666,0.016416666666666673
2009-01-07 15:00:00,0.12725,0.08641666666666666,0.015916666666666673
2009-01-07 18:00:00,0.11841666666666667,0.07958333333333333,0.014833333333333337
2009-01-07 21:00:00,0.08475,0.07300000000000001,0.012583333333333335
2009-01-08 00:00:00,0.09741666666666667,0.06374999999999999,0.012499999999999999
2009-01-08 03:00:00,0.08483333333333332,0.08166666666666665,0.013083333333333336
2009-01-08 06:00:00,0.10433333333333335,0.06875000000000002,0.015250000000000005
2009-01-08 09:00:00,0.10133333333333333,0.06641666666666668,0.01683333333333334
2009-01-08 12:00:00,0.11516666666666668,0.077,0.01491666666666667
2009-01-08 15:00:00,0.07625,0.06733333333333334,0.018083333333333337
2009-01-08 18:00:00,0.06925000000000002,0.06650000000000002,0.015833333333333338
2009-01-08 21:00:00,0.106,0.06974999999999999,0.014083333333333337
2009-01-09 00:00:00,0.10041666666666667,0.06591666666666667,0.013666666666666669
2009-01-09 03:00:00,0.09291666666666666,0.06083333333333335,0.013666666666666669
2009-01-09 06:00:00,0.06983333333333332,0.05191666666666667,0.013583333333333336
2009-01-09 09:00:00,0.061750000000000006,0.05941666666666667,0.01516666666666667
2009-01-09 12:00:00,0.10466666666666667,0.06924999999999999,0.016666666666666673
2009-01-09 15:00:00,0.0679166666666667,0.061833333333333344,0.016916666666666674
2009-01-09 18:00:00,0.04658333333333333,0.04474999999999999,0.011500000000000002
